area_feasible,area_alone,proportion,convex,feasibility,distance,detection,parameter,vero_model,trcy_model,environment
85898.93955258098,150579.18066204994,0.5704569461389681,0,1,0.052888888181132465,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86104.80962113974,150579.18066204994,0.5718241342698479,0,1,0.4153642159568123,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86165.22504515598,150579.18066204994,0.5722253545696969,0,1,0.8696903072872941,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85927.10760547603,150579.18066204994,0.57064401086313,0,1,2.665797079288807,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85899.32174372695,150579.18066204994,0.5704594842796612,0,1,1.9960761237443467,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85828.86084898199,150579.18066204994,0.5699915517644545,0,0,-0.5322872657167839,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85941.89250804861,150579.18066204994,0.5707421977605985,0,0,-0.020848739794517623,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85829.0844899338,150579.18066204994,0.5699930369694531,0,1,0.8333566004460211,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86043.23883056728,150579.18066204994,0.5714152411526072,0,1,1.0136503812337527,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85862.61860625501,150579.18066204994,0.5702157378513,0,1,0.5535193955979381,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85677.11246099426,150579.18066204994,0.5689837870301763,0,1,1.135876120600411,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86082.88793377481,150579.18066204994,0.5716785518110475,0,1,1.0713514867398266,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85669.46206257211,150579.18066204994,0.5689329805482409,0,1,0.16067087868592544,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86191.4528706507,150579.18066204994,0.5723995341965179,0,1,0.3498536185054092,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85719.16607298609,150579.18066204994,0.5692630660899171,0,1,0.23601875576417042,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85966.94236406389,150579.18066204994,0.5709085544634651,0,1,0.841506908205016,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86140.80897229734,150579.18066204994,0.5720632068361836,0,1,0.25918834453869133,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85876.98734678984,150579.18066204994,0.5703111610065573,0,1,4.2739341625575715,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85660.27172125218,150579.18066204994,0.5688719472680788,0,1,1.6030228377049234,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86040.52049679273,150579.18066204994,0.5713971886319161,0,1,0.3287015439943426,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85843.60502166479,150579.18066204994,0.5700894681737348,0,1,1.3771522479232514,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85809.31588802814,150579.18066204994,0.5698617532035385,0,1,0.5608937224757704,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85860.22306378005,150579.18066204994,0.5701998289954779,0,1,0.03639140826273923,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86097.32978777488,150579.18066204994,0.5717744605146052,0,1,0.7370594089072178,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86008.38923284749,150579.18066204994,0.5711838041268075,0,1,0.032917346471344366,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86046.62247637453,150579.18066204994,0.571437712026684,0,0,-0.4976238579133505,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86056.20838814155,150579.18066204994,0.5715013722998034,0,1,0.09061418031571256,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85995.38306557212,150579.18066204994,0.5710974298536963,0,1,0.36433726310257697,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85900.62233365406,150579.18066204994,0.5704681215289901,0,0,-5.938873704862111,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85602.9982471411,150579.18066204994,0.5684915927339442,0,1,2.0742513843590284,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86089.45029891888,150579.18066204994,0.5717221326375285,0,1,0.6286124832246704,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85973.67306175851,150579.18066204994,0.5709532531905072,0,1,0.9353081077974053,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86148.71671899225,150579.18066204994,0.5721157223742557,0,1,0.6168189491131002,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85824.95757868513,150579.18066204994,0.5699656300515079,0,1,0.19297192979202205,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85908.93732640588,150579.18066204994,0.570523341598028,0,0,-2.3137102317036518,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85914.2489617376,150579.18066204994,0.5705586162974144,0,0,-4.7786898206394355,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85866.69501018229,150579.18066204994,0.5702428093488958,0,0,-1.275990798726514,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85836.66993199292,150579.18066204994,0.5700434120746023,0,1,0.7510547441881665,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86085.93835863954,150579.18066204994,0.5716988097567431,0,0,-1.8991167056309362,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85944.49662193128,150579.18066204994,0.5707594917442105,0,1,0.6347472809053452,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86150.2513151502,150579.18066204994,0.5721259136646533,0,1,0.8179093964121362,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85985.75907153582,150579.18066204994,0.5710335166753008,0,0,-0.8257421136305376,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86002.61897924214,150579.18066204994,0.5711454837323148,0,1,0.5657750019509225,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86038.5705514645,150579.18066204994,0.5713842389975798,0,1,0.08804168941976442,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86214.60037153971,150579.18066204994,0.5725532573127364,0,1,1.4450015784079444,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86104.19730999944,150579.18066204994,0.5718200678966773,0,1,0.9461970459427231,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86003.00737344298,150579.18066204994,0.5711480630676461,0,1,1.460840970791411,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86082.02445154468,150579.18066204994,0.5716728174045623,0,1,0.6930506917665347,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85690.67210560647,150579.18066204994,0.5690738369597389,0,1,1.0134518869354956,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85970.32865634984,150579.18066204994,0.5709310429128713,0,1,0.9593883488659367,1,lambda_i,Beverton-Holt,Beverton-Holt,open
